chrName	beg.pos	end.pos	gene	geneAbbr	geneName	color	y.min	y.max
NC_068449.1	25.859295	25.866058	LOC118362604	LOC118362604	eukaryotic translation initiation factor 5-like	#5b5640	0.025	0.03
NC_068449.1	25.86508	25.870112	LOC127913629	LOC127913629	uncharacterized LOC127913629	#a28cf0	0.075	0.08
NC_068449.1	25.874919	25.886995	si:dkey-196h17.9	si:dkey-196h17.9	exocyst complex component 3-like protein	#0b5b54	0.025	0.03
NC_068449.1	25.887178	25.897962	tnfaip2b	tnfaip2b	tumor necrosis factor%2C alpha-induced protein 2b	#E48796	0.025	0.03
NC_068449.1	25.903086	25.926623	LOC118362609	LOC118362609	exocyst complex component 3-like protein 4	#f9d8c3	0.075	0.08
NC_068449.1	25.948437	25.956292	LOC118362047	LOC118362047	protein LBH-like	#a4cfb4	0.025	0.03
NC_068449.1	25.973766	25.988218	LOC118362178	LOC118362178	protein AHNAK2-like	#ccb68d	0.075	0.08
NC_068449.1	26.010939	26.016611	si:dkey-229e3.2	si:dkey-229e3.2	uncharacterized si:dkey-229e3.2	#23072d	0.025	0.03
NC_068449.1	26.023332	26.029474	LOC118362613	LOC118362613	cell division cycle-associated protein 4-like	#26352f	0.075	0.08
NC_068449.1	26.031523	26.058039	LOC118362179	LOC118362179	1-phosphatidylinositol 4%2C5-bisphosphate phosphodiesterase beta-1-like	#d3e7e9	0.075	0.08
NC_068449.1	26.083794	26.087707	crls1	crls1	cardiolipin synthase 1	#D9D9F3	0.025	0.03
NC_068449.1	26.087839	26.09611	mcm8	mcm8	minichromosome maintenance 8 homologous recombination repair factor	#8E6B23	0.025	0.03
NC_068449.1	26.096331	26.104707	LOC118362616	LOC118362616	beta-soluble NSF attachment protein-like	#f3eadd	0.075	0.08
NC_068449.1	26.104945	26.106482	LOC118362048	LOC118362048	tribbles homolog 2-like	#7f7d3d	0.025	0.03
NC_068449.1	26.121003	26.139605	LOC118362617	LOC118362617	cell division cycle 5-like protein	#acb9db	0.075	0.08
NC_068449.1	26.151471	26.158008	enpp4	enpp4	ectonucleotide pyrophosphatase/phosphodiesterase 4	#70EC49	0.025	0.03
NC_068449.1	26.163483	26.173902	LOC118362180	LOC118362180	XK-related protein 6-like	#302425	0.075	0.08
NC_068449.1	26.183217	26.294459	LOC118362620	LOC118362620	transmembrane protein KIAA1109 homolog	#3c1b23	0.025	0.03
NC_068449.1	26.310218	26.35206	LOC118362622	LOC118362622	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2	#583c5a	0.075	0.08
NC_068449.1	26.35585	26.362553	LOC118362624	LOC118362624	eukaryotic translation initiation factor 4E-like	#7f987c	0.075	0.08
NC_068449.1	26.381293	26.40699	metap1	metap1	methionyl aminopeptidase 1	#75E6E5	0.025	0.03
