sample,depth,ABLG,CollectionYear,CollectionMonth,CollectionDay,Location1,StartLatitudeDD,StartLongitudeDD,LengthMM,FishDepthMM,WeightG,Lifestage,Sex,WGSBatchID,CollectionDate,Runtime,Comparison,Group
43589,0.663811866,43589,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43557,0.991535812,43557,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43591,0.895308567,43591,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43592,0.846137272,43592,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43593,1.052408568,43593,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43562,1.391266307,43562,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43594,1.182061043,43594,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43602,0.655839529,43602,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43596,0.555723397,43596,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43595,1.23872198,43595,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43597,0.89199697,43597,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43598,0.854671519,43598,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43600,0.635002211,43600,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43601,0.895607222,43601,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43599,0.879334112,43599,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43603,1.033883432,43603,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43606,0.461637965,43606,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43604,0.27744609,43604,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43605,0.749289285,43605,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43608,0.557990252,43608,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43609,1.107817104,43609,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43610,0.676921571,43610,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43612,0.887448901,43612,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43611,1.22948891,43611,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43616,0.807358497,43616,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43618,1.065927082,43618,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43615,1.1207294,43615,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43613,0.557239081,43613,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43614,0.652007209,43614,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43619,0.790372182,43619,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43620,0.453929445,43620,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43617,0.86323691,43617,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43621,0.815638874,43621,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43622,1.011769911,43622,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43623,1.561889152,43623,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43607,0.975956675,43607,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
